RecipeID,Ingredient
1,Chicken
1,Basmati Rice
1,Onion
1,Tomato
1,Ginger Garlic Paste
1,Green Chilli
1,Yogurt
1,Biryani Spices
1,Mint Leaves
1,Coriander Leaves
1,Salt
1,Oil
2,Paneer
2,Butter
2,Tomato
2,Onion
2,Ginger Garlic Paste
2,Cream
2,Garam Masala
2,Turmeric Powder
2,Red Chilli Powder
2,Salt
3,Rice
3,Urad Dal
3,Potato
3,Onion
3,Green Chilli
3,Curry Leaves
3,Mustard Seeds
3,Salt
3,Oil
4,Onion
4,Tomato
4,Ginger Garlic Paste
4,Indian Spices
4,Green Chilli
4,Coriander Leaves
4,Salt
4,Oil
5,Onion
5,Tomato
5,Ginger Garlic Paste
5,Indian Spices
5,Green Chilli
5,Coriander Leaves
5,Salt
5,Oil
5,Sugar
6,Onion
6,Tomato
6,Ginger Garlic Paste
6,Indian Spices
6,Green Chilli
6,Coriander Leaves
6,Salt
6,Oil
6,Milk
7,Chicken
7,Onion
7,Tomato
7,Ginger Garlic Paste
7,Indian Spices
7,Green Chilli
7,Coriander Leaves
7,Salt
7,Oil
8,Onion
8,Tomato
8,Ginger Garlic Paste
8,Indian Spices
8,Green Chilli
8,Coriander Leaves
8,Salt
8,Oil
9,Onion
9,Tomato
9,Ginger Garlic Paste
9,Indian Spices
9,Green Chilli
9,Coriander Leaves
9,Salt
9,Oil
10,Onion
10,Tomato
10,Ginger Garlic Paste
10,Indian Spices
10,Green Chilli
10,Coriander Leaves
10,Salt
10,Oil
10,Eggs
11,Mixed Vegetables
11,Rice
11,Garlic
11,Ginger
11,Spring Onion
11,Soy Sauce
11,Vinegar
11,Sesame Oil
11,Salt
11,Oil
12,Garlic
12,Ginger
12,Spring Onion
12,Soy Sauce
12,Vinegar
12,Sesame Oil
12,Salt
12,Oil
13,Garlic
13,Ginger
13,Spring Onion
13,Soy Sauce
13,Vinegar
13,Sesame Oil
13,Salt
13,Oil
14,Garlic
14,Ginger
14,Spring Onion
14,Soy Sauce
14,Vinegar
14,Sesame Oil
14,Salt
14,Oil
15,Chicken
15,Garlic
15,Ginger
15,Spring Onion
15,Soy Sauce
15,Vinegar
15,Sesame Oil
15,Salt
