RecipeID,Calories,Protein,Carbs,Fat
1,467,28,55,20
2,484,31,60,22
3,371,19,60,18
4,368,8,55,22
5,384,10,59,26
6,221,12,39,19
7,288,19,39,13
8,505,27,69,21
9,522,30,53,23
10,328,18,53,19
11,475,25,63,27
12,492,28,68,29
13,359,13,37,14
14,326,18,32,14
15,462,26,62,22
16,479,29,67,24
17,496,32,51,26
18,513,35,56,28
19,530,27,61,30
20,466,30,66,19
21,283,17,25,15
22,430,6,60,21
23,517,28,60,25
24,253,15,40,21
25,470,34,70,29
26,357,11,49,12
27,434,10,64,18
28,371,14,49,18
29,307,17,54,20
30,224,7,33,15
31,491,30,58,28
32,508,33,63,30
33,375,7,53,15
34,261,12,27,15
35,478,31,57,23
36,425,15,67,23
37,512,26,67,27
38,529,29,51,29
39,265,16,31,12
40,282,19,36,14
41,499,27,66,22
42,266,10,30,13
43,452,33,55,26
44,469,25,60,28
45,336,10,50,26
46,303,15,45,13
47,450,15,59,19
48,206,6,39,12
49,473,29,64,25
50,290,16,44,21
51,357,17,38,25
52,524,27,58,18
53,260,14,38,14
54,227,13,48,11
55,494,25,52,24
56,511,28,57,26
57,328,15,37,22
58,314,16,52,26
59,481,26,51,19
60,428,10,61,19
61,515,32,61,23
62,301,17,51,21
63,268,11,25,21
64,235,10,35,18
65,502,33,60,18
66,519,25,65,20
67,455,28,70,22
68,322,13,39,20
69,289,18,34,20
70,306,10,39,22
71,453,10,74,28
72,209,12,33,8
73,276,19,33,15
74,493,27,63,23
75,510,30,68,25
76,327,17,27,21
77,313,7,42,25
78,350,13,57,12
79,497,31,67,20
80,384,19,46,16
81,300,8,41,20
82,267,13,36,20
83,414,13,71,26
84,251,15,30,19
85,388,12,50,13
86,454,30,60,21
87,471,33,65,23
88,288,9,45,19
89,435,9,59,25
90,272,11,39,18
91,458,34,64,18
92,275,10,44,14
93,292,13,28,16
94,509,32,58,24
95,526,35,63,26
96,462,27,68,28
97,479,30,52,30
98,496,33,57,19
99,443,6,67,19
100,460,9,72,21
101,466,31,51,25
102,333,16,41,23
103,300,10,36,23
104,447,10,71,16
105,203,12,30,9
106,470,35,55,22
107,487,27,60,24
108,504,30,65,26
109,371,15,55,24
110,387,6,59,28
111,324,10,44,15
112,291,15,39,15
113,508,34,69,23
114,525,26,53,25
115,391,10,63,25
116,478,32,63,29
117,495,35,68,18
118,312,11,27,14
119,329,14,32,16
120,395,14,67,22
121,482,25,67,26
122,499,28,51,28
123,366,13,41,26
124,252,18,36,13
125,399,7,71,19
126,336,11,35,19
127,503,32,55,25
128,320,19,35,21
129,386,8,70,27
130,223,10,50,7
131,490,33,54,20
132,507,25,59,22
133,324,12,39,18
134,390,12,74,24
135,227,14,33,17
136,494,26,58,30
137,381,14,58,13
138,378,14,53,17
139,394,16,57,21
140,231,7,37,14
141,498,30,62,27
142,515,33,67,29
143,321,10,46,12
144,398,9,61,18
145,415,12,66,20
146,502,34,66,24
147,389,11,45,20
148,305,11,40,24
149,402,13,65,28
150,239,15,45,8
151,506,27,70,21
152,523,30,54,23
153,459,33,59,25
154,406,6,69,25
155,293,12,44,23
156,510,31,53,18
157,527,34,58,20
158,393,7,68,20
159,330,11,53,20
160,297,16,27,20
161,364,17,42,24
162,380,8,67,28
163,217,10,47,8
164,334,15,36,17
165,251,5,36,12
166,518,28,61,25
167,304,13,51,23
168,401,15,55,27
169,488,26,55,18
170,505,29,60,20
171,522,32,65,22
172,258,19,45,18
173,405,8,59,24
174,342,12,44,24
175,359,15,49,26
176,526,25,69,19
177,262,12,28,15
178,279,15,33,17
179,496,34,63,25
180,513,26,68,27
181,400,14,47,23
182,466,32,57,18
183,283,19,37,14
184,430,8,72,20
185,367,12,36,20
