RecipeID,RecipeName,Cuisine,Category,CookingTime,Budget,Rating
1,Chicken Biryani,Indian,Main Course,60,350,4.9
2,Paneer Butter Masala,Indian,Main Course,35,280,4.8
3,Masala Dosa,Indian,Breakfast,25,120,4.8
4,Samosa,Indian,Snacks,30,100,4.7
5,Gulab Jamun,Indian,Desserts,35,150,4.9
6,Mango Lassi,Indian,Beverages,10,90,4.7
7,Chicken Tikka,Indian,Appetizers,35,300,4.8
8,Palak Paneer,Indian,Main Course,35,250,4.8
9,Chole Bhature,Indian,Main Course,50,180,4.7
10,Aloo Paratha,Indian,Breakfast,35,130,4.7
11,Vegetable Fried Rice,Chinese,Main Course,25,180,4.6
12,Hakka Noodles,Chinese,Main Course,25,170,4.6
13,Spring Rolls,Chinese,Snacks,30,160,4.5
14,Manchurian,Chinese,Appetizers,30,190,4.6
15,Sweet and Sour Chicken,Chinese,Main Course,35,260,4.5
16,Kung Pao Chicken,Chinese,Main Course,35,290,4.7
17,Mapo Tofu,Chinese,Main Course,30,220,4.6
18,Margherita Pizza,Italian,Main Course,30,280,4.7
19,White Sauce Pasta,Italian,Main Course,30,240,4.6
20,Lasagna,Italian,Main Course,60,320,4.8
21,Bruschetta,Italian,Appetizers,15,160,4.5
22,Tiramisu,Italian,Desserts,40,260,4.8
23,Risotto,Italian,Main Course,40,300,4.7
24,Minestrone Soup,Italian,Appetizers,35,190,4.5
25,Cheeseburger,American,Main Course,25,250,4.6
26,Pancakes,American,Breakfast,20,140,4.7
27,Brownie,American,Desserts,35,180,4.8
28,French Fries,American,Snacks,20,110,4.5
29,Hot Dog,American,Snacks,15,160,4.4
30,Chocolate Milkshake,American,Beverages,10,120,4.6
31,Chicken Tacos,Mexican,Main Course,30,240,4.7
32,Vegetable Burrito,Mexican,Main Course,35,210,4.6
33,Nachos,Mexican,Snacks,15,150,4.5
34,Guacamole,Mexican,Appetizers,15,170,4.6
35,Chicken Quesadilla,Mexican,Main Course,25,230,4.7
36,Churros,Mexican,Desserts,30,160,4.7
37,Sushi Rolls,Japanese,Main Course,45,420,4.8
38,Ramen,Japanese,Main Course,40,300,4.7
39,Tempura,Japanese,Appetizers,35,330,4.6
40,Miso Soup,Japanese,Appetizers,20,180,4.5
41,Teriyaki Chicken,Japanese,Main Course,35,320,4.7
42,Matcha Latte,Japanese,Beverages,10,180,4.6
43,Pad Thai,Thai,Main Course,30,260,4.7
44,Green Curry,Thai,Main Course,40,290,4.8
45,Thai Spring Rolls,Thai,Snacks,25,180,4.5
46,Tom Yum Soup,Thai,Appetizers,30,220,4.7
47,Mango Sticky Rice,Thai,Desserts,35,190,4.7
48,Thai Iced Tea,Thai,Beverages,10,100,4.6
49,Nasi Goreng,Indonesian,Main Course,30,230,4.7
